deaths/timestamp,deaths/position/x,deaths/position/y,deaths/killerId,deaths/victimId,deaths/assistingParticipantIds/0,deaths/assistingParticipantIds/1,deaths/assistingParticipantIds/2
173659,1081,10266,8,3,,,
221946,3834,11288,9,5,8,,
239747,1964,11510,8,3,,,
359873,1458,11254,8,3,,,
361095,7916,5539,9,5,,,
382562,12125,1872,10,2,,,
388968,12103,1853,10,1,7,,
415783,774,10256,8,3,,,
492347,1572,11244,8,3,,,
537925,2331,8866,8,5,,,
605407,1532,12170,8,3,9,,
608875,6799,6751,6,4,,,
631067,11795,1654,7,1,10,,
723736,8075,7583,8,3,6,7,
728129,7024,7387,8,4,6,7,
753194,9797,2447,10,5,9,7,
830294,6682,7200,3,9,4,,
839973,7612,7743,6,3,7,,
843013,7576,8020,6,4,9,7,
846911,7669,8062,6,5,7,,
868813,8722,896,10,2,7,,
892301,2612,4622,3,8,5,4,1
173335,1989,13149,4,7,,,
194757,6627,6587,10,5,,,
269396,11026,1031,8,1,9,,
286635,2866,11159,6,4,7,,
307214,10891,1021,2,9,,,
334728,11319,5247,2,8,1,,
377734,3482,12990,7,4,,,
481711,10358,4877,10,3,,,
503906,11766,2946,8,2,9,,
509719,10729,1617,8,1,,,
586155,1541,10102,3,7,4,5,
663483,10228,1424,1,6,5,2,
675736,3008,11050,4,7,,,
694433,11627,2111,8,3,9,,
698695,12042,2145,8,2,9,10,
703186,10834,1262,10,1,9,8,
776738,11247,6545,2,6,5,1,
780840,12217,7358,5,9,3,2,1
781302,12035,6804,8,2,6,10,
789231,12112,6814,10,1,6,8,
807860,3954,12812,4,7,,,
880787,11584,1724,9,1,8,,
886567,12197,1584,8,2,9,,
891091,12187,2097,4,8,,,
892545,13135,2453,4,9,2,1,
66070,1802,13047,9,1,,,
66730,5263,3761,6,4,7,,
83480,7032,4625,6,5,7,10,
83744,7248,4708,3,6,2,5,
172653,2973,13379,1,9,,,
246682,2687,12469,9,1,,,
247342,2841,12633,1,9,,,
324236,4192,10216,1,9,5,,
354789,6902,8012,4,6,1,5,
387423,10713,4558,4,10,3,5,
389207,13157,2655,8,3,7,10,
396340,12918,3330,4,7,3,5,
449293,1220,12269,1,9,,,
487274,11351,3263,10,5,6,8,
518784,13032,3209,4,10,2,3,
520931,1664,12946,9,1,,,
526216,13764,4796,4,8,2,3,
559411,7429,6960,6,5,7,,
604594,11093,1203,6,2,8,9,10
658776,11194,1161,5,8,2,4,
664261,12508,1664,4,6,2,5,
692003,10696,5417,4,9,5,,
716444,10745,4555,5,6,2,3,4
720707,10195,4327,4,10,2,3,5
759582,11789,6633,6,5,,,
774775,6836,7279,7,4,,,
774775,4595,13729,1,9,,,
835859,7429,6972,5,7,,,
841969,6979,7358,10,5,7,,
842629,6745,7511,4,10,5,,
861985,9195,9887,1,6,,,
192330,8649,8403,3,9,,,
320375,4285,13697,1,10,2,,
490905,8184,7870,3,9,,,
555920,5053,13477,1,6,,,
579815,11014,1379,7,5,8,,
581236,6138,11102,10,2,,,
590287,6691,11746,1,10,2,,
594481,9114,8473,3,9,,,
656703,7515,6973,9,3,,,
658289,7479,7375,3,9,,,
696832,2745,13182,1,6,,,
698419,2942,13567,1,10,,,
722043,13514,5736,7,2,8,,
812227,7736,8790,2,10,3,,
831430,12336,1884,4,8,,,
835460,12072,1837,6,4,7,8,
859184,10061,1151,6,5,,,
876267,6232,10813,1,10,,,
192535,4574,13664,2,6,,,
278593,12799,2507,4,10,3,,
296039,1902,12718,2,6,,,
344654,3158,13082,2,7,,,
422054,6698,6959,9,5,,,
493277,3052,10994,6,2,7,,
500283,13215,3121,1,10,3,,
568730,14080,4336,1,10,3,,
569622,13265,3920,8,3,10,,
572034,13608,4517,1,8,3,,
606364,5146,9043,9,4,7,,
613005,4953,9090,2,7,4,5,
622815,8507,7970,2,9,5,3,
670629,13133,2333,1,8,3,,
677465,4419,13646,2,6,,,
741987,6350,11439,2,7,,,
776907,10139,5055,5,6,4,2,
805603,10830,5515,5,7,1,3,
805768,11667,5934,3,8,5,1,
828197,13885,4011,2,10,3,,
829584,13842,3873,10,2,,,
875235,11336,1800,1,6,3,,
